,country,population,gdp,# projects,gdp per capita,# projects per capita
0,fr,56864048.0,1401465923172.24,5140,24645.90496920374,9.039103230920176e-05
1,gb,57509240.0,1179713014951.83,5026,20513.45166362536,8.739465171162061e-05
2,de,80205024.0,2131571696931.75,4957,26576.53586553069,6.180410843091326e-05
3,it,56833184.0,1320161644933.23,3324,23228.711678959073,5.848695719740073e-05
4,nl,15150688.0,362962872180.451,2275,23956.857416669856,0.00015015819743631443
5,es,39202248.0,630916018202.503,2237,16093.873448341612,5.7063054139140185e-05
6,be,10016455.0,234781652446.675,1498,23439.59539045251,0.0001495539090426703
7,gr,10478389.0,116224672863.783,1403,11091.84559418275,0.0001338946282677614
8,dk,5175466.0,152914810032.913,1097,29546.09498601923,0.000211961589545753
9,pt,9978745.0,107592098307.098,971,10782.127242163018,9.730682565793595e-05
10,ie,3528370.0,55918538121.3989,736,15848.26368022597,0.00020859490359571135
11,se,8640277.0,284319488252.297,689,32906.293195495586,7.974281380099272e-05
12,ch,6873188.0,279917776400.299,424,40726.04683595138,6.168898624626593e-05
13,no,4286560.0,130838022522.86,355,30522.848746514686,8.281699078048599e-05
14,fi,5042120.0,112532519246.084,319,22318.49286531935,6.326703846794602e-05
15,at,7840816.0,195078126721.763,222,24879.82458991041,2.8313379627834652e-05
16,br,155900784.0,390566561752.671,42,2505.2251292890933,2.694021089720755e-07
17,lu,391524.0,15518702634.8808,31,39636.657356588104,7.917777709667862e-05
18,in,907574080.0,288208066640.584,29,317.55872384608426,3.195331448866411e-08
19,th,56939020.0,111452745855.989,28,1957.4054111923422,4.917541608548936e-07
20,cm,12128609.0,12071775346.4187,25,995.3140831251711,2.0612421424418908e-06
21,is,261275.0,7080977636.41567,25,27101.62716071446,9.56846234810066e-05
22,ke,24655724.0,8209120678.11342,23,332.9498934248866,9.328462632044389e-07
23,tz,27580728.0,4601413521.13102,22,166.8343751162413,7.9765842293938e-07
24,bf,9598555.0,3356692508.3457,20,349.7081079751796,2.0836469656109694e-06
25,id,188558416.0,128026966579.964,20,678.9777369574637,1.060679253902939e-07
26,sn,7974512.0,7769817847.278,19,974.3314509123568,2.3825909347180114e-06
27,zw,10641504.0,6751472200.0,17,634.4471796467868,1.5975185462506052e-06
28,ph,64543524.0,60422329031.6279,16,936.1485907033508,2.47894738440374e-07
29,et,52011560.0,8830712713.90781,15,169.78365413203932,2.883974254954091e-07
30,cn,1183813376.0,426915712715.856,15,360.6275460059137,1.2670916129266645e-08
31,ci,12838315.0,11152971284.4479,14,868.7254740554271,1.0904857841546962e-06
32,co,33939044.0,58394443348.9332,14,1720.5683032478228,4.1250425321349655e-07
33,cl,13782300.0,45964855773.9876,14,3335.064232674343,1.0157956219208694e-06
34,mx,84993160.0,363157793810.136,14,4272.788466861757,1.6471913739882128e-07
35,ar,33568280.0,228778994288.214,13,6815.3326380801755,3.872703635694173e-07
36,my,18526708.0,59167550162.956,12,3193.635381037797,6.477135603367852e-07
37,ng,100182048.0,47794954191.501,12,477.08102544979914,1.1978193937500658e-07
38,ma,25400676.0,33711069430.78,12,1327.1721363155846,4.7242837159137026e-07
39,ml,9310571.0,2830673380.79743,12,304.02790342261824,1.2888575791968075e-06
40,pe,23047250.0,35966302303.263,9,1560.5463690142208,3.905021206434607e-07
41,bo,7394417.0,5643869230.99931,9,763.2608806075326,1.2171344948492896e-06
42,ve,20700462.0,60416519619.7904,8,2918.6073054693366,3.864648045053294e-07
