country,ecMaxContribution
ae,4587721.25
af,4999572.5
ai,10434946.39
al,439767574.65000004
am,362363197.58
ao,13736800.0
ar,601154795.98
at,36632416832.26
au,1258405508.29
az,252774347.6
ba,305069918.18
bd,46677030.33
be,58896778074.97
bf,203566949.66
bg,7572176776.87
bh,9995214.75
bi,2727362.5
bj,78636560.26
bo,27471546.05
bq,5997296.0
br,1108902660.26
bt,1545600.0
bw,60958325.26
by,424480204.91
bz,8555905.0
ca,1915237561.51
cd,36100453.21
cg,27887638.18
ch,34675232317.45
ci,90853448.28
cl,443255562.23
cm,94442101.77
cn,2458189403.92
co,359370964.1
cr,65220522.15
cu,61074863.13
cv,72641673.46000001
cy,5791308518.29
cz,17216090779.94
de,159985755402.71
dj,14952219.0
dk,23614901812.21
do,4211768.88
dz,101107498.62
ec,127453945.46000001
ee,6233645237.79
eg,267062450.01
es,144281950439.2
et,260926927.52
fi,29435655642.02
fj,3330400.0
fo,171956120.48
fr,157871239986.4
ga,40328648.18
gb,100533662909.64
gd,1355972.0
ge,502149185.69
gh,312342593.5
gi,37235364.39
gl,107360980.65
gr,40378859087.69
gt,8099647.8100000005
hk,157574008.26
hn,4999999.95
hr,9009886461.17
hu,13568215404.89
id,123457252.56
ie,17425189541.14
il,10916423105.94
in,791147648.77
iq,18314028.5
ir,55627305.5
is,2116338471.92
it,131099502127.92
je,1893002.5
jm,32696849.5
jo,73455249.26
jp,649246964.17
ke,792630623.03
kg,38081820.21
kh,21793260.25
kr,778731664.07
kw,8301000.0
kz,28828417.130000003
la,3314900.0
lb,98915299.9
li,9466644.9
lk,31786325.380000003
lr,27198449.75
ls,800000.0
lt,4301505231.92
lu,3915436818.58
lv,5171813878.24
ly,6167851.84
ma,349997580.12
mc,38131644.49
md,450083717.96
me,509698685.40999997
mg,53338473.09
mh,9975477.5
mk,905724705.65
ml,43690361.7
mm,4045600.0
mn,9099958.0
mr,4999960.0
mt,1288070416.25
mu,13834025.0
mv,11542261.45
mw,73200306.69
mx,264552936.41
my,137925827.83
mz,125686226.11
na,69231104.66
nc,61012314.01
ne,36018772.29
ng,102828388.57
ni,4200000.0
nl,79818958586.8
no,22827307181.78
np,37439111.25
nz,181974050.48
om,9995214.75
pa,14993935.7
pe,111234215.27
pf,21512106.15
pg,2042400.0
ph,108960748.81
pk,54599293.75
pl,28821904189.14
ps,26741678.71
pt,28216659688.38
py,13828489.25
qa,7072556.279999999
ro,16118263890.48
rs,2975639014.41
ru,1033308289.1
rw,115538321.83
sa,31378594.75
sb,1288000.0
sc,4999960.0
sd,9487567.0
se,39596585241.48
sg,55500097.97
si,11053038910.77
sk,5675766417.0
sl,127046781.35
sn,295841472.77
so,4167054.0
sr,3999997.5
st,778500.0
sx,5997296.0
sz,11148236.0
td,5901062.0
tg,39960519.760000005
th,181562318.74
tj,13009219.55
tm,2603857.0
tn,406887690.13
tr,7157113307.99
tw,449728942.57
tz,268667021.08
ua,5542037227.22
ug,309948755.82
um,3545010.72
us,6058515442.59
uy,156916769.82
uz,20499317.130000003
va,237768.0
ve,4927680.0
vg,5395296.0
vn,170510442.24
vu,2576000.0
wf,7700988.1
xk,82335825.86
ye,1990114.25
za,1586813794.81
zm,55087169.14
zw,18107423.25
zz,2495674.0
