lat_lon,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,GB
0,"(47.6139487927463, 14.076158884337072)","(50.65244095902296, 4.580834113854935)","(42.7531187620217, 25.19511095327711)","(45.01623399593114, 16.566189771645533)","(34.90706085094344, 33.03955380295407)","(49.775245294369, 15.334558102365815)","(56.06393446179454, 9.876372937675002)","(58.643695426630906, 25.824725613026608)","(64.50409403963651, 26.211764610296353)","(42.46070432663372, -2.8766966992706267)","(51.13372269040778, 10.288485092742851)","(39.066715899713955, 22.719813447095053)","(47.19995117195427, 19.357628627745918)","(65.07427633529105, -18.761028770831768)","(53.18059120995006, -8.010236544877012)","(42.751183052964265, 12.140788372235871)","(56.80717513427924, 24.833296149803438)","(47.16, 9.32)","(55.284319484766066, 23.88064027584349)","(49.76570507415103, 5.965223432343999)","(35.5, 14.35)","(52.298700374441786, 5.512217100965399)","(69.15685630975351, 15.468119955206761)","(52.14826021933187, 19.31101430844868)","(39.63404977497817, -8.055765588295687)","(45.857101035738005, 24.943252494635377)","(48.7267113517275, 19.507657147433708)","(46.12542205901039, 14.938152320795732)","(40.348656106226734, -3.6170206023873743)","(62.811484968080336, 16.59626584684802)","(46.79173768366762, 8.118300613385486)","(53.91477348053706, -2.8531353951805545)"
"(47.6139487927463, 14.076158884337072)",0.0,770.1652991039201,1025.8905001087312,346.6010533874256,2114.850595285571,257.5705731582407,983.2647818217572,1453.1436881358125,2018.6126135123654,1449.4838192116947,478.2956358455796,1178.6464858296238,401.1959070314668,2752.7187595362147,1679.58532474459,561.373522834273,1256.6301981189135,362.58389371307504,1090.0183719682154,642.903704876976,1345.6298977294064,804.785032679177,2400.6528678040786,628.862947477918,1984.6057029921328,852.4469686765824,422.40557428558964,178.04634085007402,1627.5051615493064,1699.1335691277736,460.45059025016826,1379.7666409854282
"(50.65244095902296, 4.580834113854935)",770.1652991039201,0.0,1795.8234769816563,1092.3235370028603,2882.451086682032,773.0475704670232,697.4074089617403,1623.6952645101921,1992.834751443674,1074.0442574898536,405.0317562925552,1917.4654700249998,1146.5174159396413,2096.032290940102,909.4383852617077,1050.3259523417403,1494.159211174665,520.8872649408854,1389.675531499168,139.6193023601204,1858.092830829683,194.2491501478652,2141.92825863695,1036.6512713434295,1572.5485048873797,1597.1325119068965,1096.1560907397152,916.2236784776874,1310.3594821587585,1535.0725257356048,501.92555004904534,623.29873994949
"(42.7531187620217, 25.19511095327711)",1025.8905001087312,1795.8234769816563,0.0,737.159427614448,1104.632364960665,1087.7978363634147,1842.4962815002546,1768.2256574517176,2421.617407550959,2293.0781496128006,1463.552186022501,459.3832777877987,675.068287413582,3680.867996836227,2705.0215442384924,1067.6626539855301,1563.3590028630022,1341.959881993251,1396.8354114074448,1668.3092234763847,1234.2180235219219,1813.3626221490015,2993.2763550942313,1133.9634093230818,2792.5143727180484,345.49339301894014,797.4440454803175,897.5528576534646,2406.7973150334005,2301.495284473375,1420.9098829785153,2398.1281301459626
"(45.01623399593114, 16.566189771645533)",346.6010533874256,1092.3235370028603,737.159427614448,0.0,1794.253515660409,537.1860552289535,1315.7613357085863,1641.4896520847426,2250.4508593087035,1587.7683276687255,824.875675357486,833.895895523304,324.7507552528378,3099.2417482012065,1997.4946481572242,435.5719711090006,1432.3418138088016,608.6709253413513,1254.453324690239,957.4709990767999,1073.2493152671595,1146.0819782011804,2688.8972804301434,818.3800577238574,2106.391734363548,661.7797440648626,469.41587805541104,177.04640864255953,1728.2368205437267,1980.6250930517222,684.1943393391585,1711.6177719690006
"(34.90706085094344, 33.03955380295407)",2114.850595285571,2882.451086682032,1104.632364960665,1794.253515660409,0.0,2192.426862651347,2937.884001236754,2691.98738991941,3324.1035093428286,3209.440184411283,2565.9765995721086,1027.2993945708693,1779.691176632613,4776.84347303953,3790.566951057514,2005.469003527473,2511.9745084871574,2399.109753748004,2371.788802038627,2749.998110031761,1700.6291288384775,2913.0513317199197,3962.954038330992,2205.344411304751,3650.4462165565487,1395.069281834793,1896.48271476507,1967.9416869143492,3267.647042577648,3306.814848560097,2465.095313998699,3494.17915244856
"(49.775245294369, 15.334558102365815)",257.5705731582407,773.0475704670232,1087.7978363634147,537.1860552289535,2192.426862651347,0.0,789.7067644903262,1198.1989168543041,1761.641060002383,1619.4205202087417,388.8128793082555,1325.783345939188,412.7387829508766,2608.453615702292,1657.4655708152075,818.4703085584517,1004.9149141276318,531.1523179677848,842.7353580234371,674.4962315217941,1587.7996334664392,743.195926803534,2159.086231487042,384.26146250626795,2155.705916065235,840.2368215947272,325.370746396042,406.89845980138324,1815.2351246103747,1453.5547132743764,629.5731400152853,1330.7825395129942
"(56.06393446179454, 9.876372937675002)",983.2647818217572,697.4074089617403,1842.4962815002546,1315.7613357085863,2937.884001236754,789.7067644903262,0.0,999.313203416749,1296.8086419683777,1768.5804081542167,549.3944741316133,2114.5938520145705,1182.360167619676,1839.2105303278522,1195.2899968882984,1489.4857087600647,924.5206433577398,991.3876867290015,883.8269327680122,748.3454684123773,2310.7515278605056,506.5689307796173,1485.725835019941,754.4658712211889,2252.195071609549,1545.7792609799742,1045.0902925319767,1160.3409721411501,2006.65322255761,841.8431608611351,1038.717753881392,847.8216336734824
"(58.643695426630906, 25.824725613026608)",1453.1436881358125,1623.6952645101921,1768.2256574517176,1641.4896520847426,2691.98738991941,1198.1989168543041,999.313203416749,0.0,653.3919984437767,2678.934165031197,1295.6649926716086,2188.3838025479154,1344.220890086707,2396.2117007466027,2175.3005251584027,2006.121052300665,212.89215012832722,1683.828922531376,392.30181541813704,1619.2826843094736,2707.658735771749,1457.7753959574097,1273.464307956373,831.7526220516821,3193.254048568392,1424.01797444955,1178.7576259412608,1573.3525965488782,2903.898516150555,683.8680771619948,1769.8156292835793,1836.6599393771367
"(64.50409403963651, 26.211764610296353)",2018.6126135123654,1992.834751443674,2421.617407550959,2250.4508593087035,3324.1035093428286,1761.641060002383,1296.8086419683777,653.3919984437767,0.0,3065.3718042421074,1753.2457080800953,2839.382187596408,1971.092508232354,2094.0168056563857,2300.945655101341,2579.966682824664,860.8649291057505,2186.1070304129607,1035.2467936966873,2029.2219902289112,3323.5286506713787,1803.3265337969435,699.4556011010353,1432.360163745153,3543.738172908713,2077.3199194773815,1801.9906001318614,2159.927150639721,3303.053846396287,511.63149110280153,2258.717709107958,2007.7425784892791
