source,target,real collaborations,weight
de,gb,29166.000000000007,19652.08944479794
de,fr,28766.99999999999,20858.330373658202
de,it,24423.00000000002,17882.543402847772
de,es,21065.00000000002,14022.590970229385
fr,gb,20805.0,16712.277213508212
fr,it,19340.000000000004,15168.409838458361
gb,it,18578.0,15143.382823707752
de,nl,17339.99999999999,7153.07973653889
es,it,17199.999999999993,10732.193456843337
es,gb,16840.000000000004,11901.436483950394
es,fr,16387.000000000004,10678.098703583179
gb,nl,14127.0,6029.906840847308
fr,nl,11687.999999999989,6546.640698390963
be,de,11324.0,5601.505431210739
de,se,10170.999999999989,5095.510302982023
it,nl,9774.999999999996,5864.311904245941
be,gb,9451.0,4572.837080028562
ch,de,9218.000000000004,5686.589310449028
be,fr,8853.000000000004,4911.432496955746
es,nl,8567.0,4663.193172385764
at,de,8424.000000000002,4811.364606138569
gb,se,8007.999999999997,4165.626455899976
be,it,7562.999999999997,4329.067318531461
fr,se,7134.000000000003,4449.758983767192
be,es,6959.999999999998,3314.7390598794477
ch,gb,6688.999999999998,4767.178721817044
be,nl,6257.999999999998,1640.855327714238
de,gr,6232.999999999998,4131.845579853107
de,fi,6177.999999999998,3098.673488860571
ch,fr,5977.0,4872.643025742978
it,se,5802.000000000003,3965.2975090646346
gr,it,5654.0,3513.589126178663
ch,it,5458.999999999999,4113.13268700697
gb,gr,5336.999999999998,3462.6219163484984
de,dk,5332.000000000003,3277.435715277599
es,se,5280.999999999999,3149.397651903605
fr,gr,5044.000000000003,3507.539134851194
es,gr,4884.999999999999,2471.7577935306376
dk,gb,4770.0,3236.5738748890276
at,gb,4732.000000000001,4119.507027547892
at,fr,4599.0,4261.563808049245
nl,se,4412.999999999998,1763.9460437055816
fi,gb,4407.000000000001,3064.949822772913
at,it,4396.999999999999,3501.4570085418463
ch,es,4173.0,3282.677529304454
fi,fr,4167.000000000001,3261.8240944920503
gb,no,4128.000000000001,3294.1164708747797
de,no,4117.999999999998,4073.9397557723155
es,fi,4073.9999999999977,1899.8426862327326
de,pl,4003.999999999998,6965.509978808178
es,pt,3890.0,1902.6539059730937
at,es,3877.999999999998,2858.087646184113
de,pt,3808.9999999999986,3675.2807066904516
fi,it,3695.9999999999995,2842.5253028460074
ch,nl,3382.999999999999,1792.4503395275124
gb,pl,3340.9999999999986,6030.014019967871
it,pt,3273.0000000000005,2730.412488093682
gb,pt,3273.0000000000005,2946.3214790012867
cz,de,3202.9999999999995,3856.9819022492525
at,nl,3170.0000000000014,1550.148997676847
dk,fr,3153.000000000001,3526.971917791402
fr,pt,3149.9999999999995,2774.1554342605646
dk,es,3095.0000000000005,2367.2969323336038
fr,no,3064.9999999999995,3502.032422250204
gb,ie,3049.0000000000005,1996.1102294964976
be,se,3028.0000000000005,1235.1221972537005
it,pl,2994.0000000000005,5465.2564253327155
dk,it,2975.000000000001,3073.739680949705
fr,pl,2964.9999999999995,6312.151411270456
de,ie,2948.9999999999995,2712.22608735059
fi,nl,2806.9999999999995,1191.709388192134
de,hu,2761.000000000001,2480.3497465485443
es,no,2750.0000000000014,2475.884004807779
it,no,2746.0,3138.2341098066427
dk,nl,2704.000000000001,1220.1323949211783
es,pl,2623.999999999999,4470.769422772333
gr,nl,2526.9999999999995,1596.5445181263729
be,ch,2482.999999999999,1191.8556123323408
nl,no,2353.0000000000014,1407.1553852519621
es,ie,2250.000000000001,1602.2335313166311
fr,ie,2176.000000000001,2252.0262902493737
at,be,2175.0,1019.879999673212
cz,fr,2148.0,3499.625248998706
fi,se,2147.0000000000005,697.0026556447481
gb,hu,2124.0,2135.2257818490098
cz,gb,2103.9999999999995,3345.461289261738
ie,it,2038.0000000000005,2512.4046392292967
de,ro,1998.0000000000005,3566.0053661899533
fr,hu,1993.999999999999,2196.693804193053
cz,it,1979.999999999999,2934.0562440585295
ch,se,1973.9999999999998,1250.6022953878114
be,gr,1947.0000000000005,1003.1896043970592
hu,it,1918.9999999999998,2361.393275716096
cz,es,1878.999999999999,2346.779529076263
at,se,1856.9999999999993,1055.703009535903
be,dk,1839.0000000000007,801.2820251914583
nl,pl,1836.9999999999995,2486.4347877605524
be,fi,1801.9999999999995,751.2575665039793
es,hu,1801.9999999999995,1554.345698706037
it,ro,1761.0000000000005,2643.5450119034845
nl,pt,1761.0000000000005,1264.6823416112627
dk,se,1740.9999999999998,816.0028250393657
fr,ro,1729.0000000000007,3102.747530619518
de,si,1718.0000000000007,927.3535866406
gr,se,1688.0000000000005,1051.06483373992
no,se,1597.0000000000002,880.0435807537972
es,ro,1540.0,2191.669048866664
at,ch,1525.0,1004.3165482006684
gb,ro,1523.0000000000007,3020.5468888435644
ie,nl,1492.9999999999995,1024.618897638713
be,pt,1465.9999999999995,869.4156995590408
be,pl,1402.0,1735.9110396616745
be,no,1394.0000000000007,982.2667441526784
at,fi,1375.9999999999998,637.8222899168728
ch,gr,1343.0000000000005,980.809849892872
hu,nl,1326.9999999999995,1050.0614112268283
cz,nl,1309.0000000000005,1254.736571001233
es,si,1303.0000000000002,580.8783489707166
it,si,1282.9999999999995,673.3827521507719
ch,fi,1272.0,756.801379412501
gb,si,1196.9999999999998,802.6284697271968
fi,gr,1189.9999999999995,633.9055839640428
gr,pt,1188.0000000000002,737.8079950056675
gr,no,1182.0000000000005,829.6070603898341
pl,se,1143.9999999999993,1743.8352715640822
at,gr,1127.9999999999998,820.0548698538581
ch,dk,1126.9999999999998,824.0892324986156
dk,no,1116.9999999999995,660.6157348143547
bg,gb,1102.9999999999998,1733.0220516880918
fr,si,1063.0,819.9120462648149
pt,se,1061.0000000000005,953.8744127192758
be,ie,1038.9999999999995,634.9545447455051
dk,fi,1033.0000000000002,502.811778983461
gr,pl,1022.0000000000003,1454.9484080150537
bg,de,1018.0000000000001,2112.7885704021755
be,hu,1014.0000000000003,612.472047375741
bg,it,1006.0,1483.1122560612391
be,cz,986.0000000000006,766.7609328605915
fi,no,972.0000000000001,553.4533704970532
at,dk,955.0000000000001,697.5680232782344
de,sk,901.9999999999998,1706.0013373302486
nl,ro,855.9999999999997,1259.3322516638639
bg,es,846.9999999999997,1187.7210788779346
fi,pl,844.9999999999997,1091.159141542605
at,pl,835.9999999999998,1417.5964113486775
at,no,832.0000000000001,840.374276865005
ie,se,829.9999999999997,693.6312428545216
bg,fr,829.9999999999997,1780.0370840524677
hu,se,814.9999999999997,697.7111102653541
dk,gr,809.9999999999995,698.8330219741758
gr,ro,808.9999999999999,674.6655195079844
ch,pl,802.9999999999998,1728.0809795605198
at,pt,800.9999999999998,750.5503828185557
nl,si,791.9999999999999,331.01022135348626
cz,se,770.9999999999997,849.5747712644948
de,ee,766.0000000000003,537.7440962182902
fi,pt,760.0,567.1510282646163
be,ro,747.0000000000003,873.3990655148648
ee,gb,736.0,678.2063951232865
ch,pt,715.9999999999997,865.8221953638468
gr,ie,715.9999999999997,564.382710698672
ch,no,712.0000000000003,992.4477741454934
at,cz,710.0000000000003,598.3425151673534
gr,hu,699.0000000000001,492.4084600207357
no,pt,695.9999999999998,698.9683847146333
be,si,679.0,228.43470934891994
dk,pt,672.0000000000001,617.768187883605
cy,gb,671.0,765.2901952777634
de,hr,669.0000000000002,1289.956321281675
gb,sk,663.0000000000001,1475.1168896740874
at,hu,652.0,479.7228506785572
cy,de,647.9999999999999,946.1788355615809
dk,ie,644.9999999999997,448.2412686482386
ch,ie,640.9999999999998,652.9693050273622
cy,es,627.9999999999999,521.6870633151809
it,sk,618.0,1297.5168395987562
ch,hu,608.9999999999998,597.7301669563482
cy,it,602.9999999999999,667.6695530951623
ro,se,595.0000000000003,964.8511713437163
