country,degree
de,138862.12977602432
gb,125767.69650006141
fr,117274.9119762296
it,104132.72243939832
es,86384.26427195122
nl,62638.91240694727
pl,59914.257375933936
ch,49023.02532848311
be,46530.779679886204
se,44322.4695925209
at,40280.946698546664
ie,36161.811373254975
cz,34059.51685308799
ro,33770.553449295185
dk,33576.39062316109
no,33456.68445789533
pt,29942.68021954699
gr,29561.240006915334
fi,27492.51167172148
hu,26574.57011855913
sk,19139.258379072602
bg,18836.988646444424
hr,15529.59502479306
lt,12703.231937383785
si,12136.680544428627
lu,11124.219566314336
lv,9213.742923515161
cy,9086.59546794782
ee,8971.661938339217
is,5662.312769025637
mt,5582.665843204189
