,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,de,fr,16493,81551680.0,1947981991011.77,58665456.0,1365639660792.16,1388.8423808022078
1,de,gb,16431,81551680.0,1947981991011.77,58850044.0,1666048767079.76,942.4486012041631
2,fr,gb,14190,58665456.0,1365639660792.16,58850044.0,1666048767079.76,1273.6202599845476
3,de,it,12023,81551680.0,1947981991011.77,56966400.0,1146676894209.73,942.4105590819394
4,gb,it,11500,58850044.0,1666048767079.76,56966400.0,1146676894209.73,1659.5551553181333
5,fr,it,10889,58665456.0,1365639660792.16,56966400.0,1146676894209.73,1231.1327126024544
6,de,es,8342,81551680.0,1947981991011.77,40741652.0,598363313494.903,1609.5494803163838
7,es,gb,7949,40741652.0,598363313494.903,58850044.0,1666048767079.76,1509.2765304449847
8,es,fr,7863,40741652.0,598363313494.903,58665456.0,1365639660792.16,242.59590332635463
9,es,it,7736,40741652.0,598363313494.903,56966400.0,1146676894209.73,1339.4003074317754
10,de,nl,7514,81551680.0,1947981991011.77,15899138.0,417479337444.707,354.5455728579468
11,gb,nl,6994,58850044.0,1666048767079.76,15899138.0,417479337444.707,587.9855253968492
12,fr,nl,5764,58665456.0,1365639660792.16,15899138.0,417479337444.707,1262.0464963514944
13,be,fr,4645,10264351.0,236792460312.471,58665456.0,1365639660792.16,1074.0442574898536
14,be,de,4609,10264351.0,236792460312.471,81551680.0,1947981991011.77,405.0317562925552
15,de,se,4595,81551680.0,1947981991011.77,8871042.0,262834187366.578,1354.2464400363774
16,gb,se,4524,58850044.0,1666048767079.76,8871042.0,262834187366.578,1498.605473867267
17,be,gb,4511,10264351.0,236792460312.471,58850044.0,1666048767079.76,623.29873994949
18,it,nl,4118,56966400.0,1146676894209.73,15899138.0,417479337444.707,1171.8227822573015
19,gb,gr,3796,58850044.0,1666048767079.76,11038112.0,130457756628.436,2539.9738030826825
20,de,gr,3733,81551680.0,1947981991011.77,11038112.0,130457756628.436,1655.182247503806
21,gr,it,3586,11038112.0,130457756628.436,56966400.0,1146676894209.73,979.7748706125544
