,country,count_proj
41,de,12513
50,es,12440
81,it,10705
55,fr,10372
124,nl,6963
16,be,6123
57,gb,5074
65,gr,4944
10,at,3236
137,pt,3120
145,se,3117
43,dk,2779
52,fi,2718
30,ch,2660
125,no,2509
74,ie,2070
135,pl,1974
40,cz,1566
167,us,1226
140,ro,1214
147,si,1201
161,tr,1020
39,cy,987
75,il,947
72,hu,887
47,ee,726
18,bg,682
70,hr,638
96,lt,594
97,lu,521
141,rs,519
148,sk,495
98,lv,391
164,ua,370
26,ca,266
34,cn,235
112,mt,234
174,za,218
11,au,213
80,is,183
83,jp,150
84,ke,147
23,br,142
9,ar,111
166,uk,101
165,ug,88
87,kr,84
102,md,79
106,mk,77
59,gh,75
160,tn,74
14,ba,73
77,in,71
35,co,69
163,tz,67
100,ma,64
51,et,63
58,ge,62
32,cl,62
122,ng,60
6,al,53
128,nz,51
49,el,49
157,th,48
150,sn,46
116,mx,46
48,eg,42
27,cd,40
118,mz,39
103,me,34
142,rw,30
17,bf,29
146,sg,29
91,lb,27
54,fo,26
7,am,26
31,ci,26
33,cm,26
175,zm,24
172,vn,24
162,tw,23
169,uz,21
130,pe,20
117,my,19
20,bj,17
173,xk,17
89,kz,16
38,cv,15
36,cr,14
46,ec,14
104,mg,14
37,cu,14
73,id,13
133,ph,13
168,uy,12
45,dz,12
134,pk,12
13,az,12
115,mw,11
56,ga,11
82,jo,11
61,gl,11
143,sa,10
69,hk,10
85,kg,9
21,bo,9
15,bd,9
107,ml,9
176,zw,8
3,ae,8
29,cg,8
113,mu,7
93,lk,7
8,ao,7
63,gn,7
152,st,6
19,bi,6
25,bw,6
94,lr,5
86,kh,5
68,gw,4
154,sz,4
149,sl,4
156,tg,4
136,ps,4
108,mn,4
101,mc,4
92,li,4
119,na,4
79,ir,4
78,iq,3
158,tj,3
22,bq,3
28,cf,3
131,pf,3
62,gm,3
126,np,2
66,gt,2
44,do,2
138,py,2
67,gu,2
159,tm,2
132,pg,2
24,bt,2
111,mr,2
110,mp,2
105,mh,2
12,aw,2
129,pa,2
171,ve,1
153,sv,1
170,va,1
155,td,1
0,86626,1
151,sr,1
1,89041,1
2,ad,1
4,af,1
5,ai,1
42,dj,1
53,fj,1
60,gi,1
64,gq,1
71,ht,1
76,im,1
90,la,1
144,sd,1
95,ls,1
99,ly,1
109,mo,1
114,mv,1
120,nc,1
121,ne,1
123,ni,1
127,nu,1
139,qa,1
88,kw,1
