source,target,weight
de,fr,4587
de,gb,4052
fr,gb,3971
fr,it,2807
de,de,2732
fr,fr,2702
de,it,2527
de,nl,2278
gb,it,2101
gb,nl,1998
es,fr,1993
gb,gb,1935
fr,nl,1869
be,fr,1693
de,es,1643
be,de,1579
es,gb,1470
es,it,1261
be,gb,1251
it,it,1209
de,dk,1137
it,nl,1074
dk,gb,970
dk,fr,865
fr,gr,855
be,nl,838
gb,gr,826
be,it,806
es,nl,795
de,gr,776
fr,pt,771
nl,nl,711
gb,ie,665
dk,nl,640
gb,pt,634
de,pt,624
be,es,600
gr,it,590
es,es,587
de,ie,567
gb,se,556
fr,ie,545
dk,it,531
de,se,529
it,pt,483
es,pt,464
be,dk,462
fr,se,443
dk,es,428
be,be,407
es,gr,394
ie,it,367
ch,de,352
ie,nl,340
gr,nl,337
nl,pt,335
ch,fr,314
be,gr,310
nl,se,283
es,ie,265
it,se,254
be,pt,253
de,fi,245
dk,dk,242
fi,gb,230
ch,gb,230
be,ie,229
dk,gr,221
gr,gr,213
de,no,213
gr,pt,208
dk,pt,201
ch,it,197
es,se,191
fi,fr,190
pt,pt,189
ch,nl,189
dk,ie,183
be,se,177
gb,no,166
dk,se,158
fi,it,155
fr,no,148
fi,nl,141
gr,ie,140
ch,es,140
ie,pt,134
es,fi,123
be,ch,122
pt,se,104
ie,ie,102
be,fi,98
nl,no,96
dk,fi,92
it,no,91
gr,se,90
at,de,89
ch,dk,87
ie,se,86
at,fr,84
se,se,82
at,gb,74
ch,se,68
ch,pt,64
es,no,62
ch,gr,62
fi,se,60
fi,pt,59
ch,ie,57
be,no,55
fi,gr,53
no,se,53
at,it,49
dk,no,48
fi,ie,45
de,lu,41
fr,lu,41
ch,fi,39
ch,ch,37
gr,no,34
be,lu,33
at,nl,29
at,es,26
fi,no,25
it,lu,25
no,no,25
gb,lu,21
at,be,21
ch,no,20
fi,fi,19
lu,nl,19
no,pt,17
es,lu,17
at,gr,16
dk,lu,13
at,ie,12
ie,no,12
ie,lu,11
at,se,11
at,pt,11
lu,pt,11
at,dk,10
gr,lu,10
ch,lu,9
lu,se,8
at,at,8
at,no,6
fr,is,4
de,li,4
at,ch,4
is,it,3
fi,lu,3
is,se,2
at,fi,2
de,is,2
gr,is,2
fr,li,2
gb,is,2
it,li,1
li,nl,1
es,li,1
is,pt,1
be,is,1
is,is,1
