source,target,weight
es,it,22497
de,fr,21739
de,es,21310
de,it,18936
es,fr,18571
fr,it,17363
de,nl,14421
be,es,11810
es,gr,11650
es,nl,11198
be,de,11098
fr,nl,10655
be,fr,10353
it,nl,10250
be,it,10173
gr,it,9741
de,gb,9473
es,gb,8534
at,de,8139
de,gr,7961
fr,gb,7908
be,nl,7678
gb,it,7386
es,pt,6897
fr,gr,6562
ch,de,6347
de,se,6248
at,es,6166
gb,nl,5827
at,it,5684
es,se,5634
de,fi,5555
at,fr,5437
it,pt,5268
ch,es,5119
it,se,5050
ch,fr,5033
de,pt,5010
es,fi,5008
be,gr,5008
fr,se,4962
fr,pt,4892
ch,it,4806
be,gb,4678
de,dk,4577
es,pl,4474
fi,fr,4417
dk,es,4331
fi,it,4314
es,no,4300
gr,nl,4220
de,no,4208
at,nl,3982
de,pl,3894
it,pl,3826
fr,pl,3769
dk,it,3671
fr,no,3671
ch,nl,3664
gb,gr,3573
es,ie,3567
dk,fr,3562
nl,se,3440
cz,de,3436
it,no,3381
fi,nl,3227
at,be,3141
be,pt,3091
gr,pt,3067
be,fi,2983
be,se,2965
cz,fr,2923
nl,pt,2900
dk,nl,2854
it,si,2810
de,ie,2777
be,ch,2745
ie,it,2728
cz,es,2715
cz,it,2708
es,si,2708
ch,gb,2665
be,dk,2624
es,ro,2614
cy,gr,2603
it,ro,2512
nl,no,2487
ch,gr,2460
fr,ie,2444
gb,se,2439
at,gr,2369
be,no,2354
gb,pt,2273
at,gb,2261
de,si,2230
nl,pl,2173
fi,se,2159
fi,gr,2136
fi,gb,2095
de,ro,2062
gb,no,2050
dk,gb,2047
at,se,2039
fr,ro,2004
de,hu,1988
ie,nl,1970
gr,se,1952
be,pl,1948
es,hu,1943
gr,no,1912
cy,es,1900
be,ie,1868
fr,si,1854
at,fi,1752
cz,nl,1712
gr,pl,1707
dk,gr,1695
gb,ie,1693
cy,it,1677
gr,ro,1669
gr,ie,1639
be,cz,1633
at,ch,1627
hu,it,1619
fi,pt,1605
fr,hu,1571
gr,si,1552
gb,pl,1521
dk,se,1521
no,se,1502
fi,no,1497
ch,se,1479
dk,pt,1472
no,pt,1463
dk,no,1459
cz,gb,1454
at,pl,1443
cy,de,1434
at,pt,1426
be,si,1393
pt,se,1388
ch,fi,1375
bg,es,1371
ee,es,1367
be,ro,1345
hr,it,1336
at,dk,1322
dk,fi,1307
bg,it,1241
de,hr,1240
ch,pt,1233
at,cz,1225
es,lt,1217
ee,it,1215
pl,se,1191
es,hr,1189
pl,pt,1157
ch,dk,1140
hu,nl,1140
fr,hr,1131
at,no,1130
nl,ro,1129
nl,si,1123
de,ee,1123
es,sk,1119
