,country,population,gdp,# projects,gdp per capita,# projects per capita
0,de,81325088.0,3399667820000.09,18823,41803.43241682185,0.0002314537919713041
1,gb,62760048.0,2491397494467.95,18325,39697.18911731792,0.0002919851176659393
2,fr,62444568.0,2645187882116.73,13674,42360.576217241665,0.00021897821440609535
3,it,59822452.0,2136099955236.72,12435,35707.32866711515,0.00020786510054786789
4,es,46572776.0,1422108199783.37,11854,30535.182179893465,0.00025452637824294606
5,nl,16617121.0,847380859016.688,8587,50994.44476673715,0.0005167561817718004
6,be,10877948.0,481420882905.012,5991,44256.58983707332,0.0005507472549050611
7,se,9381722.0,495812558843.31,4679,52848.77966361719,0.0004987357331628458
8,ch,7822444.0,598851028906.58,4586,76555.48942332856,0.0005862617872368277
9,gr,11033784.0,297124961971.508,3836,26928.654935741717,0.0003476595155388215
10,at,8362829.0,392275107258.677,3654,46906.98653035677,0.00043693348267673536
11,fi,5363279.0,249424310816.673,2918,46505.9361664148,0.000544070148131395
12,dk,5550850.0,321995279401.502,2864,58008.283308232436,0.0005159570155922066
13,pt,10588401.0,238113003233.289,2470,22488.098366626746,0.00023327412703768964
14,no,4889747.0,431052143940.438,2266,88154.28363480524,0.00046341865949301673
15,pl,38597356.0,475696613935.595,2257,12324.590677547834,5.847550801148141e-05
16,il,7328439.0,238364092298.023,2029,32525.9024872859,0.0002768666014686074
17,ie,4524581.0,221913560882.372,2026,49046.21242991826,0.00044777626922802355
18,hu,9986832.0,132175349953.713,1670,13234.962794378938,0.00016722019555350486
19,cz,10464750.0,209069940963.177,1447,19978.49360597979,0.00013827372846938533
20,tr,73195352.0,776967457763.602,1233,10614.983554742685,1.6845331927633876e-05
21,ro,20335212.0,170029359010.667,1115,8361.327091680529,5.48309995489597e-05
22,si,2057294.0,48208240226.4512,946,23432.839558396223,0.0004598273265755891
23,bg,7592271.0,50754203890.7341,722,6684.983174432801,9.509671085239185e-05
24,ru,143242592.0,1524916698232.71,571,10645.693274195359,3.986244538216678e-06
25,us,311182848.0,15048964444000.0,567,48360.52032019451,1.8220798596200264e-06
26,ee,1331535.0,19523477325.6235,559,14662.38388448182,0.00041981622713635014
27,sk,5396428.0,91162836320.3524,499,16893.18125255306,9.246857365650019e-05
28,cy,1129693.0,25799940416.0173,472,22838.01034087783,0.0004178126269703362
29,lt,3139021.0,37128694028.243,422,11828.112659406546,0.00013443681963261795
30,hr,4368680.0,58693611581.162,416,13435.090595136746,9.522327110248404e-05
31,cn,1348191360.0,6087191720866.69,395,4515.079907400304,2.929851145166811e-07
32,lv,2101537.0,23956163076.5575,338,11399.353462041116,0.00016083466529497221
33,rs,7653749.0,41819468691.8251,331,5463.919536925643,4.3246780107369604e-05
34,in,1240613632.0,1675615502766.2,288,1350.6344437509777,2.3214318509116623e-07
35,is,318346.0,13751161917.7398,278,43195.64850112707,0.0008732636816545519
36,lu,507075.0,56213985987.4181,259,110859.31270012936,0.0005107725681605285
37,br,196353504.0,2208838108593.19,246,11249.293053579477,1.2528424244468792e-06
38,za,51784928.0,417363825016.286,245,8059.561751563814,4.731106317266677e-06
39,ua,45683024.0,141209163012.941,220,3091.0642652058455,4.815793280234688e-06
40,ca,33963416.0,1617343367486.26,209,47620.161867294504,6.153680183406758e-06
41,au,22019166.0,1148569537284.62,204,52162.26342471918,9.264656072804937e-06
42,mt,418758.0,9035819656.6669,202,21577.664562030815,0.00048237884410566486
43,ma,32464866.0,100865325482.244,133,3106.9071864409975,4.096736453494063e-06
44,eg,87252416.0,218983666061.706,129,2509.771947881718,1.4784690890393223e-06
45,mx,112532400.0,1057800597973.65,125,9399.964792127867,1.1107912032445767e-06
46,ar,41100124.0,423627422092.49,123,10307.205450097668,2.9926917008814866e-06
47,jp,128105432.0,5759071769013.11,122,44955.71873184199,9.523405689775902e-07
48,mk,2093828.0,9407170388.83362,107,4492.8095282103495,5.1102573850383126e-05
49,tn,10895063.0,46206091937.9628,104,4241.011909519275,9.545607951050856e-06
50,ke,41517896.0,45405615233.0693,77,1093.6396014159604,1.8546219201473987e-06
51,cl,17004166.0,217105434199.5,76,12767.779037178301,4.469492946610849e-06
52,kr,48813036.0,1144066965324.49,68,23437.734242231727,1.3930704904321051e-06
53,md,3678186.0,6974982391.40094,64,1896.3104071955415,1.7399881354559014e-05
54,ge,3836834.0,12243219360.2985,62,3190.969262756351,1.615915622098845e-05
55,co,44816104.0,286498534094.963,58,6392.758596217177,1.2941776464995708e-06
56,gh,25574722.0,32197648061.1663,56,1258.9637557415601,2.1896621202764197e-06
57,by,9731426.0,57231904542.8755,55,5881.142655030774,5.651792450561716e-06
58,me,631048.0,4142983897.83334,54,6565.243686428513,8.557193747543769e-05
59,tz,45110532.0,32014247547.5146,52,709.6845487770927,1.1527241576313043e-06
60,nz,4346345.0,146517541181.254,51,33710.51795963137,1.1733997186141458e-05
61,th,68270488.0,341104766329.17,51,4996.372170785859,7.470284964126813e-07
62,ba,3811093.0,17176320823.1892,50,4506.927756207786,1.311959587446436e-05
63,jo,6931263.0,27133804225.3521,50,3914.698407108791,7.213692511739924e-06
64,sn,12530128.0,16121315901.8117,50,1286.604247124347,3.990382221155283e-06
65,vn,87411016.0,147201164066.172,47,1684.0115903260064,5.376896660256186e-07
66,am,2946296.0,9260285762.09704,44,3143.026281845762,1.4934005273061498e-05
67,ug,32341724.0,26673441432.4579,44,824.7377731767763,1.3604716928510057e-06
68,al,2913402.0,11926926654.0521,41,4093.814260459799,1.4072894849389133e-05
69,dz,35856348.0,161207306304.794,39,4495.920953935242,1.0876735132088744e-06
70,kz,16627839.0,148047348240.643,36,8903.583216113831,2.1650438159763273e-06
71,my,28717728.0,255017645207.18,35,8880.146967308137,1.2187593670362782e-06
72,uy,3352653.0,41950361211.9581,34,12512.586662549957,1.0141222488578449e-05
