,country,count_proj
33,fr,5140
35,gb,5026
24,de,4957
49,it,3324
73,nl,2275
30,es,2237
5,be,1498
40,gr,1403
25,dk,1097
81,pt,971
46,ie,736
87,se,689
15,ch,424
74,no,355
32,fi,319
2,at,222
11,br,42
58,lu,31
47,in,29
97,th,28
18,cm,25
48,is,25
52,ke,23
102,tz,22
6,bf,20
45,id,20
91,sn,19
110,zw,17
78,ph,16
31,et,15
19,cn,15
16,ci,14
20,co,14
17,cl,14
66,mx,14
1,ar,13
67,my,12
71,ng,12
59,ma,12
61,ml,12
76,pe,9
10,bo,9
106,ve,8
80,pl,8
34,ga,7
21,cr,7
9,bj,7
109,zm,6
107,vn,6
68,mz,6
27,ec,6
44,hu,6
98,tn,6
4,bd,5
26,dz,5
36,gh,5
42,gw,5
105,uy,5
29,eg,5
84,ru,5
56,lk,5
96,tg,4
12,bw,4
83,ro,3
104,us,3
65,mw,3
41,gt,3
70,ne,3
85,rw,3
37,gm,3
88,si,2
79,pk,2
95,td,2
86,sd,2
0,ao,2
3,bb,2
8,bi,2
13,cd,2
14,cg,2
60,mg,2
23,cz,2
22,cy,2
75,np,1
100,tr,1
38,gn,1
28,ee,1
99,to,1
103,ug,1
101,tt,1
94,sz,1
7,bg,1
108,za,1
39,gq,1
93,sv,1
72,ni,1
57,ls,1
77,pg,1
69,na,1
64,mu,1
63,mq,1
62,mm,1
82,py,1
54,la,1
92,so,1
53,kh,1
51,jp,1
50,jm,1
89,sk,1
90,sl,1
43,hn,1
55,lc,1
